txn_id,stage,event_time,success,error_code
TX100000,init,2025-07-24 05:37:05.001158,,
TX100000,amount_entered,2025-07-24 05:37:18.001158,,
TX100000,pin_entered,2025-07-24 05:37:29.001158,,
TX100000,bank_auth,2025-07-24 05:37:46.001158,,
TX100000,completed,2025-07-24 05:37:49.001158,False,BANK_DOWN
TX100001,init,2025-07-06 10:54:16.001158,,
TX100001,amount_entered,2025-07-06 10:54:33.001158,,
TX100001,pin_entered,2025-07-06 10:54:52.001158,,
TX100001,fail_before_bank,2025-07-06 10:55:00.001158,False,NETWORK_TIMEOUT
TX100002,init,2025-08-17 06:47:50.001158,,
TX100002,amount_entered,2025-08-17 06:47:59.001158,,
TX100002,abandoned_after_amount,2025-08-17 06:48:17.001158,False,UPI_LIMIT_EXCEEDED
TX100003,init,2025-07-24 15:46:21.001158,,
TX100003,amount_entered,2025-07-24 15:46:37.001158,,
TX100003,pin_entered,2025-07-24 15:46:44.001158,,
TX100003,bank_auth,2025-07-24 15:47:03.001158,,
TX100003,completed,2025-07-24 15:47:10.001158,False,NETWORK_TIMEOUT
TX100004,init,2025-08-12 18:40:09.001158,,
TX100004,amount_entered,2025-08-12 18:40:15.001158,,
TX100004,pin_entered,2025-08-12 18:40:27.001158,,
TX100004,bank_auth,2025-08-12 18:40:49.001158,,
TX100004,completed,2025-08-12 18:40:54.001158,True,
TX100005,init,2025-07-15 14:30:33.001158,,
TX100005,amount_entered,2025-07-15 14:30:45.001158,,
TX100005,pin_entered,2025-07-15 14:31:09.001158,,
TX100005,bank_auth,2025-07-15 14:31:18.001158,,
TX100005,completed,2025-07-15 14:31:26.001158,True,
TX100006,init,2025-08-06 23:29:11.001158,,
TX100006,amount_entered,2025-08-06 23:29:14.001158,,
TX100006,pin_entered,2025-08-06 23:29:29.001158,,
TX100006,bank_auth,2025-08-06 23:29:43.001158,,
TX100006,completed,2025-08-06 23:29:47.001158,True,
TX100007,init,2025-08-12 21:46:29.001158,,
TX100007,amount_entered,2025-08-12 21:46:43.001158,,
TX100007,pin_entered,2025-08-12 21:47:00.001158,,
TX100007,fail_before_bank,2025-08-12 21:47:16.001158,False,NETWORK_TIMEOUT
TX100008,init,2025-08-31 23:29:10.001158,,
TX100008,amount_entered,2025-08-31 23:29:12.001158,,
TX100008,pin_entered,2025-08-31 23:29:28.001158,,
TX100008,bank_auth,2025-08-31 23:29:32.001158,,
TX100008,completed,2025-08-31 23:29:38.001158,True,
TX100009,init,2025-08-06 00:49:22.001158,,
TX100009,amount_entered,2025-08-06 00:49:26.001158,,
TX100009,pin_entered,2025-08-06 00:49:30.001158,,
TX100009,fail_before_bank,2025-08-06 00:49:51.001158,False,NETWORK_TIMEOUT
TX100010,init,2025-07-20 09:10:22.001158,,
TX100010,amount_entered,2025-07-20 09:10:25.001158,,
TX100010,pin_entered,2025-07-20 09:10:31.001158,,
TX100010,fail_before_bank,2025-07-20 09:10:48.001158,False,NETWORK_TIMEOUT
TX100011,init,2025-08-07 23:12:06.001158,,
TX100011,amount_entered,2025-08-07 23:12:16.001158,,
TX100011,pin_entered,2025-08-07 23:12:38.001158,,
TX100011,bank_auth,2025-08-07 23:12:58.001158,,
TX100011,completed,2025-08-07 23:13:05.001158,True,
TX100012,init,2025-07-24 12:46:18.001158,,
TX100012,amount_entered,2025-07-24 12:46:32.001158,,
TX100012,pin_entered,2025-07-24 12:46:49.001158,,
TX100012,bank_auth,2025-07-24 12:46:52.001158,,
TX100012,completed,2025-07-24 12:46:54.001158,True,
TX100013,init,2025-08-03 20:39:05.001158,,
TX100013,abandoned_after_init,2025-08-03 20:39:07.001158,False,USER_ABORT
TX100014,init,2025-08-09 13:24:55.001158,,
TX100014,amount_entered,2025-08-09 13:25:01.001158,,
TX100014,pin_entered,2025-08-09 13:25:11.001158,,
TX100014,bank_auth,2025-08-09 13:25:14.001158,,
TX100014,completed,2025-08-09 13:25:23.001158,True,
TX100015,init,2025-08-08 01:53:24.001158,,
TX100015,amount_entered,2025-08-08 01:53:33.001158,,
TX100015,pin_entered,2025-08-08 01:53:54.001158,,
TX100015,bank_auth,2025-08-08 01:54:08.001158,,
TX100015,completed,2025-08-08 01:54:16.001158,True,
TX100016,init,2025-07-17 02:13:51.001158,,
TX100016,amount_entered,2025-07-17 02:13:53.001158,,
TX100016,pin_entered,2025-07-17 02:13:56.001158,,
TX100016,bank_auth,2025-07-17 02:14:02.001158,,
TX100016,completed,2025-07-17 02:14:07.001158,True,
TX100017,init,2025-07-28 00:11:03.001158,,
TX100017,amount_entered,2025-07-28 00:11:14.001158,,
TX100017,pin_entered,2025-07-28 00:11:38.001158,,
TX100017,bank_auth,2025-07-28 00:11:53.001158,,
TX100017,completed,2025-07-28 00:11:56.001158,False,INCORRECT_PIN
TX100018,init,2025-07-23 11:04:15.001158,,
TX100018,amount_entered,2025-07-23 11:04:24.001158,,
TX100018,pin_entered,2025-07-23 11:04:40.001158,,
TX100018,bank_auth,2025-07-23 11:04:54.001158,,
TX100018,completed,2025-07-23 11:04:58.001158,True,
TX100019,init,2025-08-02 11:59:11.001158,,
TX100019,amount_entered,2025-08-02 11:59:13.001158,,
TX100019,pin_entered,2025-08-02 11:59:25.001158,,
TX100019,bank_auth,2025-08-02 11:59:47.001158,,
TX100019,completed,2025-08-02 11:59:52.001158,True,
TX100020,init,2025-08-23 20:36:44.001158,,
TX100020,amount_entered,2025-08-23 20:36:50.001158,,
TX100020,pin_entered,2025-08-23 20:36:54.001158,,
TX100020,bank_auth,2025-08-23 20:37:05.001158,,
TX100020,completed,2025-08-23 20:37:11.001158,True,
TX100021,init,2025-08-12 09:56:42.001158,,
TX100021,amount_entered,2025-08-12 09:57:01.001158,,
TX100021,pin_entered,2025-08-12 09:57:14.001158,,
TX100021,bank_auth,2025-08-12 09:57:19.001158,,
TX100021,completed,2025-08-12 09:57:20.001158,True,
TX100022,init,2025-07-15 22:20:50.001158,,
TX100022,amount_entered,2025-07-15 22:20:55.001158,,
TX100022,pin_entered,2025-07-15 22:21:13.001158,,
TX100022,bank_auth,2025-07-15 22:21:24.001158,,
TX100022,completed,2025-07-15 22:21:30.001158,True,
TX100023,init,2025-08-30 10:50:32.001158,,
TX100023,amount_entered,2025-08-30 10:50:37.001158,,
TX100023,pin_entered,2025-08-30 10:50:47.001158,,
TX100023,bank_auth,2025-08-30 10:51:15.001158,,
TX100023,completed,2025-08-30 10:51:18.001158,True,
TX100024,init,2025-07-26 04:31:41.001158,,
TX100024,amount_entered,2025-07-26 04:31:58.001158,,
TX100024,abandoned_after_amount,2025-07-26 04:32:16.001158,False,USER_ABORT
TX100025,init,2025-07-31 09:31:53.001158,,
TX100025,amount_entered,2025-07-31 09:32:06.001158,,
TX100025,pin_entered,2025-07-31 09:32:15.001158,,
TX100025,bank_auth,2025-07-31 09:32:20.001158,,
TX100025,completed,2025-07-31 09:32:25.001158,False,NETWORK_TIMEOUT
TX100026,init,2025-08-06 19:56:03.001158,,
TX100026,amount_entered,2025-08-06 19:56:12.001158,,
TX100026,abandoned_after_amount,2025-08-06 19:56:24.001158,False,USER_ABORT
TX100027,init,2025-08-08 14:45:01.001158,,
TX100027,amount_entered,2025-08-08 14:45:05.001158,,
TX100027,pin_entered,2025-08-08 14:45:29.001158,,
TX100027,bank_auth,2025-08-08 14:45:55.001158,,
TX100027,completed,2025-08-08 14:46:02.001158,False,NETWORK_TIMEOUT
TX100028,init,2025-08-01 12:20:23.001158,,
TX100028,amount_entered,2025-08-01 12:20:36.001158,,
TX100028,pin_entered,2025-08-01 12:20:41.001158,,
