txn_id,user_id,initiated_at,txn_value_inr,bank_name,device_type,network_type,app_version,txn_success,final_error_code
TX100000,861,2025-07-24 05:37:05.001158,50.0,ICICI,iOS,5G,7.4.1,False,BANK_DOWN
TX100001,3773,2025-07-06 10:54:16.001158,50.0,Axis,Android,5G,7.4.0,False,NETWORK_TIMEOUT
TX100002,3093,2025-08-17 06:47:50.001158,50.0,PNB,Android,5G,7.4.1,False,UPI_LIMIT_EXCEEDED
TX100003,467,2025-07-24 15:46:21.001158,50.0,ICICI,Android,4G,7.4.1,False,NETWORK_TIMEOUT
TX100004,4427,2025-08-12 18:40:09.001158,50.0,Axis,Android,WiFi,7.3.1,True,
TX100005,3445,2025-07-15 14:30:33.001158,50.0,ICICI,Android,WiFi,7.4.0,True,
TX100006,3172,2025-08-06 23:29:11.001158,50.0,HDFC,Android,5G,7.4.0,True,
TX100007,2920,2025-08-12 21:46:29.001158,50.0,ICICI,Android,WiFi,7.4.1,False,NETWORK_TIMEOUT
TX100008,131,2025-08-31 23:29:10.001158,50.0,PNB,Android,5G,7.4.1,True,
TX100009,1686,2025-08-06 00:49:22.001158,50.0,HDFC,Android,4G,7.3.1,False,NETWORK_TIMEOUT
TX100010,770,2025-07-20 09:10:22.001158,50.0,HDFC,Android,WiFi,7.4.0,False,NETWORK_TIMEOUT
TX100011,2392,2025-08-07 23:12:06.001158,50.0,HDFC,Android,4G,7.4.0,True,
TX100012,2434,2025-07-24 12:46:18.001158,50.0,HDFC,Android,5G,7.3.1,True,
TX100013,1185,2025-08-03 20:39:05.001158,50.0,SBI,Android,4G,7.4.1,False,USER_ABORT
TX100014,4556,2025-08-09 13:24:55.001158,50.0,HDFC,Android,5G,7.4.0,True,
TX100015,3386,2025-08-08 01:53:24.001158,50.0,HDFC,Android,5G,7.3.1,True,
TX100016,4118,2025-07-17 02:13:51.001158,50.0,ICICI,Android,5G,7.4.1,True,
TX100017,4844,2025-07-28 00:11:03.001158,50.0,HDFC,Android,4G,7.3.1,False,INCORRECT_PIN
TX100018,2905,2025-07-23 11:04:15.001158,50.0,ICICI,Android,4G,7.4.0,True,
TX100019,475,2025-08-02 11:59:11.001158,50.0,Axis,Android,5G,7.4.1,True,
